,Site_name,Fish and period,BfQ_area
36,sfe_4523_n0,Chinook Salmon - fry,168.8947
37,sfe_4523_s0,Chinook Salmon - fry,168.2399
38,sfe_4523_s1,Chinook Salmon - fry,171.6137
39,sfe_4523_s2,Chinook Salmon - fry,167.1418
40,sfe_4523,Chinook Salmon - juvenile,238.34449999999998
41,sfe_4523_n0,Chinook Salmon - juvenile,168.8947
42,sfe_4523_s0,Chinook Salmon - juvenile,168.2399
43,sfe_4523_s1,Chinook Salmon - juvenile,171.6137
44,sfe_4523_s2,Chinook Salmon - juvenile,167.1418
45,sfe_81,Chinook Salmon - spawning,4071.777
46,sfe_81_n0,Chinook Salmon - spawning,4305.2281
47,sfe_81_s0,Chinook Salmon - spawning,4292.9559
48,sfe_81_s1,Chinook Salmon - spawning,4588.8894
49,sfe_81_s2,Chinook Salmon - spawning,4330.1646
50,sfe_81,Chinook Salmon - fry,4071.777
51,sfe_81_n0,Chinook Salmon - fry,4305.2281
52,sfe_81_s0,Chinook Salmon - fry,4292.9559
53,sfe_81_s1,Chinook Salmon - fry,4588.8894
54,sfe_81_s2,Chinook Salmon - fry,4330.1646
55,sfe_81,Chinook Salmon - juvenile,4071.777
56,sfe_81_n0,Chinook Salmon - juvenile,4305.2281
57,sfe_81_s0,Chinook Salmon - juvenile,4292.9559
58,sfe_81_s1,Chinook Salmon - juvenile,4588.8894
59,sfe_81_s2,Chinook Salmon - juvenile,4330.1646
60,sfe_24,Chinook Salmon - spawning,2982.7826
61,sfe_24_n0,Chinook Salmon - spawning,3069.605
62,sfe_24_s0,Chinook Salmon - spawning,3030.7829
63,sfe_24_s1,Chinook Salmon - spawning,3108.0694
64,sfe_24_s2,Chinook Salmon - spawning,3196.76
65,sfe_24,Chinook Salmon - fry,2982.7826
66,sfe_24_n0,Chinook Salmon - fry,3069.605
67,sfe_24_s0,Chinook Salmon - fry,3030.7829
68,sfe_24_s1,Chinook Salmon - fry,3108.0694
69,sfe_24_s2,Chinook Salmon - fry,3196.76
70,sfe_24,Chinook Salmon - juvenile,2982.7826
71,sfe_24_n0,Chinook Salmon - juvenile,3069.605
72,sfe_24_s0,Chinook Salmon - juvenile,3030.7829
73,sfe_24_s1,Chinook Salmon - juvenile,3108.0694
74,sfe_24_s2,Chinook Salmon - juvenile,3196.76
75,sfe_25,Chinook Salmon - spawning,9186.7105
76,sfe_25_n0,Chinook Salmon - spawning,7777.2688
77,sfe_25_s0,Chinook Salmon - spawning,7785.2989
78,sfe_25_s1,Chinook Salmon - spawning,8808.3534
79,sfe_25_s2,Chinook Salmon - spawning,7990.4159
80,sfe_25,Chinook Salmon - fry,9186.7105
81,sfe_25_n0,Chinook Salmon - fry,7777.2688
82,sfe_25_s0,Chinook Salmon - fry,7785.2989
83,sfe_25_s1,Chinook Salmon - fry,8808.3534
84,sfe_25_s2,Chinook Salmon - fry,7990.4159
85,sfe_25,Chinook Salmon - juvenile,9186.7105
86,sfe_25_n0,Chinook Salmon - juvenile,7777.2688
87,sfe_25_s0,Chinook Salmon - juvenile,7785.2989
88,sfe_25_s1,Chinook Salmon - juvenile,8808.3534
89,sfe_25_s2,Chinook Salmon - juvenile,7990.4159
90,sfe_316,Chinook Salmon - spawning,2997.9617
91,sfe_316_n0,Chinook Salmon - spawning,2594.9254
92,sfe_316_s0,Chinook Salmon - spawning,2650.1462
93,sfe_316_s1,Chinook Salmon - spawning,2607.4059
94,sfe_316_s2,Chinook Salmon - spawning,2609.3732
95,sfe_316,Chinook Salmon - fry,2997.9617
96,sfe_316_n0,Chinook Salmon - fry,2594.9254
97,sfe_316_s0,Chinook Salmon - fry,2650.1462
98,sfe_316_s1,Chinook Salmon - fry,2607.4059
99,sfe_316_s2,Chinook Salmon - fry,2609.3732
100,sfe_316,Chinook Salmon - juvenile,2997.9617
101,sfe_316_n0,Chinook Salmon - juvenile,2594.9254
102,sfe_316_s0,Chinook Salmon - juvenile,2650.1462
103,sfe_316_s1,Chinook Salmon - juvenile,2607.4059
104,sfe_316_s2,Chinook Salmon - juvenile,2609.3732
105,sfe_2248,Chinook Salmon - spawning,492.6766
106,sfe_2248_n0,Chinook Salmon - spawning,456.2817
107,sfe_2248_s0,Chinook Salmon - spawning,468.8
108,sfe_2248_s1,Chinook Salmon - spawning,462.24
109,sfe_2248_s2,Chinook Salmon - spawning,467.7591
110,sfe_2248,Chinook Salmon - fry,492.6766
111,sfe_2248_n0,Chinook Salmon - fry,456.2817
112,sfe_2248_s0,Chinook Salmon - fry,468.8
113,sfe_2248_s1,Chinook Salmon - fry,462.24
114,sfe_2248_s2,Chinook Salmon - fry,467.7591
115,sfe_2248,Chinook Salmon - juvenile,492.6766
116,sfe_2248_n0,Chinook Salmon - juvenile,456.2817
117,sfe_2248_s0,Chinook Salmon - juvenile,468.8
118,sfe_2248_s1,Chinook Salmon - juvenile,462.24
119,sfe_2248_s2,Chinook Salmon - juvenile,467.7591
120,sfe_221,Chinook Salmon - spawning,1431.4834
121,sfe_221_n0,Chinook Salmon - spawning,1282.0593
122,sfe_221_s0,Chinook Salmon - spawning,1325.0343
123,sfe_221_s1,Chinook Salmon - spawning,1342.7643
124,sfe_221_s2,Chinook Salmon - spawning,1404.8896
125,sfe_221,Chinook Salmon - fry,1431.4834
126,sfe_221_n0,Chinook Salmon - fry,1282.0593
127,sfe_221_s0,Chinook Salmon - fry,1325.0343
128,sfe_221_s1,Chinook Salmon - fry,1342.7643
129,sfe_221_s2,Chinook Salmon - fry,1404.8896
130,sfe_221,Chinook Salmon - juvenile,1431.4834
131,sfe_221_n0,Chinook Salmon - juvenile,1282.0593
132,sfe_221_s0,Chinook Salmon - juvenile,1325.0343
133,sfe_221_s1,Chinook Salmon - juvenile,1342.7643
134,sfe_221_s2,Chinook Salmon - juvenile,1404.8896
135,sfe_209,Chinook Salmon - spawning,651.2967
136,sfe_209_n0,Chinook Salmon - spawning,536.6748
137,sfe_209_s0,Chinook Salmon - spawning,571.5997
138,sfe_209_s1,Chinook Salmon - spawning,539.6507
139,sfe_209_s2,Chinook Salmon - spawning,577.121
140,sfe_209,Chinook Salmon - fry,651.2967
141,sfe_209_n0,Chinook Salmon - fry,536.6748
142,sfe_209_s0,Chinook Salmon - fry,571.5997
143,sfe_209_s1,Chinook Salmon - fry,539.6507
144,sfe_209_s2,Chinook Salmon - fry,577.121
145,sfe_209,Chinook Salmon - juvenile,651.2967
146,sfe_209_n0,Chinook Salmon - juvenile,536.6748
147,sfe_209_s0,Chinook Salmon - juvenile,571.5997
148,sfe_209_s1,Chinook Salmon - juvenile,539.6507
149,sfe_209_s2,Chinook Salmon - juvenile,577.121
